#  wavelength    Flux         Std.Dev.
#  [Angstroem]   [F(5500)]    [N/A]

  6003.451   22203.4395    0.1
  6003.469   22141.6395    0.1
  6003.486   22188.3360    0.1
  6003.503   22145.4491    0.1
  6003.521   22016.6875    0.1
  6003.538   22095.5997    0.1
  6003.556   22064.1114    0.1
  6003.573   22089.8920    0.1
  6003.590   22090.0661    0.1
  6003.608   22098.7531    0.1
  6003.625   22143.3697    0.1
  6003.643   22123.8148    0.1
  6003.660   22063.8454    0.1
  6003.677   22019.7913    0.1
  6003.695   22136.1247    0.1
  6003.712   22106.3918    0.1
  6003.730   22080.1857    0.1
  6003.747   22001.1402    0.1
  6003.765   22015.3404    0.1
  6003.782   22034.0243    0.1
  6003.799   22078.5977    0.1
  6003.817   22122.4334    0.1
  6003.834   22141.2813    0.1
  6003.852   22191.9291    0.1
  6003.869   22054.5924    0.1
  6003.886   22139.5467    0.1
  6003.904   22064.6918    0.1
  6003.921   22063.1765    0.1
  6003.939   22150.9239    0.1
  6003.956   22184.1151    0.1
  6003.973   22186.1018    0.1
  6003.991   22125.3427    0.1
  6004.008   22064.5392    0.1
  6004.026   22045.7798    0.1
  6004.043   22161.9094    0.1
  6004.061   22240.2235    0.1
  6004.078   22399.5394    0.1
  6004.095   22406.2474    0.1
  6004.113   22214.4993    0.1
  6004.130   22122.5424    0.1
  6004.148   22107.4914    0.1
  6004.165   22109.0858    0.1
  6004.182   22118.6333    0.1
  6004.200   22126.0480    0.1
  6004.217   22075.4524    0.1
  6004.235   22142.1241    0.1
  6004.252   22055.6674    0.1
  6004.269   21991.6111    0.1
  6004.287   22013.7797    0.1
  6004.304   21923.6343    0.1
  6004.322   21984.0044    0.1
  6004.339   21964.3439    0.1
  6004.357   21911.0634    0.1
  6004.374   21917.3717    0.1
  6004.391   21928.6431    0.1
  6004.409   21907.4699    0.1
  6004.426   21833.7349    0.1
  6004.444   21757.4340    0.1
  6004.461   21734.2533    0.1
  6004.478   21705.1808    0.1
  6004.496   21741.8507    0.1
  6004.513   21773.5268    0.1
  6004.531   21825.2728    0.1
  6004.548   21858.0341    0.1
  6004.565   21801.0178    0.1
  6004.583   21828.3283    0.1
  6004.600   21944.2945    0.1
  6004.618   21914.4370    0.1
  6004.635   21835.6733    0.1
  6004.653   21821.2539    0.1
  6004.670   21890.3683    0.1
  6004.687   21936.6680    0.1
  6004.705   21992.1828    0.1
  6004.722   22052.3507    0.1
  6004.740   22099.5523    0.1
  6004.757   22148.5971    0.1
  6004.774   22018.1391    0.1
  6004.792   21975.4773    0.1
  6004.809   21793.1436    0.1
  6004.827   21485.3377    0.1
  6004.844   21184.3919    0.1
  6004.861   20775.0065    0.1
  6004.879   20281.7868    0.1
  6004.896   19910.3310    0.1
  6004.914   19604.3836    0.1
  6004.931   19423.2018    0.1
  6004.948   19490.7240    0.1
  6004.966   19664.2647    0.1
  6004.983   19994.5357    0.1
  6005.001   20349.1177    0.1
  6005.018   20790.5008    0.1
  6005.036   21205.5955    0.1
  6005.053   21316.9328    0.1
  6005.070   21426.7378    0.1
  6005.088   21548.3441    0.1
  6005.105   21565.7581    0.1
  6005.123   21723.5774    0.1
  6005.140   21830.3937    0.1
  6005.157   21836.6960    0.1
  6005.175   21836.1074    0.1
  6005.192   21818.6897    0.1
  6005.210   21760.8827    0.1
  6005.227   21672.1487    0.1
  6005.244   21604.0089    0.1
  6005.262   21424.7441    0.1
  6005.279   21192.7801    0.1
  6005.297   20814.4165    0.1
  6005.314   20304.5071    0.1
  6005.332   19588.2465    0.1
  6005.349   18605.3373    0.1
  6005.366   17401.0229    0.1
  6005.384   16163.4180    0.1
  6005.401   14829.0141    0.1
  6005.419   13438.4407    0.1
  6005.436   12636.3513    0.1
  6005.453   12440.6172    0.1
  6005.471   12801.9744    0.1
  6005.488   13639.3671    0.1
  6005.506   15232.0658    0.1
  6005.523   16669.1886    0.1
  6005.540   17975.6006    0.1
  6005.558   19079.8717    0.1
  6005.575   20069.3636    0.1
  6005.593   20879.4644    0.1
  6005.610   21396.8715    0.1
  6005.628   21710.9264    0.1
  6005.645   21928.7764    0.1
  6005.662   22004.8928    0.1
  6005.680   22079.9770    0.1
  6005.697   22123.8174    0.1
  6005.715   22167.4635    0.1
  6005.732   22154.1760    0.1
  6005.749   22220.4591    0.1
  6005.767   22189.1645    0.1
  6005.784   22170.0510    0.1
  6005.802   22205.3791    0.1
  6005.819   22155.7439    0.1
  6005.836   22014.4521    0.1
  6005.854   22002.2355    0.1
  6005.871   22021.2109    0.1
  6005.889   22051.6810    0.1
  6005.906   21993.4006    0.1
  6005.923   21979.5935    0.1
  6005.941   21926.8499    0.1
  6005.958   21879.1555    0.1
  6005.976   21842.9438    0.1
  6005.993   21847.5464    0.1
  6006.011   21838.5613    0.1
  6006.028   21842.4193    0.1
  6006.045   21867.5899    0.1
  6006.063   21855.3515    0.1
  6006.080   21772.9507    0.1
  6006.098   21760.0013    0.1
  6006.115   21730.0325    0.1
  6006.132   21625.0875    0.1
  6006.150   21462.0086    0.1
  6006.167   21238.6786    0.1
  6006.185   21075.3735    0.1
  6006.202   20900.7016    0.1
  6006.219   20780.8599    0.1
  6006.237   20707.9830    0.1
  6006.254   20663.6684    0.1
  6006.272   20706.9004    0.1
  6006.289   20873.1081    0.1
  6006.307   21142.7208    0.1
  6006.324   21357.6947    0.1
  6006.341   21486.0277    0.1
  6006.359   21627.0602    0.1
  6006.376   21766.2478    0.1
  6006.394   21845.6826    0.1
  6006.411   21912.8622    0.1
  6006.428   21943.3575    0.1
  6006.446   21939.2715    0.1
  6006.463   21907.5475    0.1
  6006.481   21969.9280    0.1
  6006.498   21987.0648    0.1
  6006.515   22014.7476    0.1
  6006.533   22002.2637    0.1
  6006.550   22006.7035    0.1
  6006.568   22032.9456    0.1
  6006.585   22039.1820    0.1
  6006.603   21997.6639    0.1
  6006.620   21885.1546    0.1
  6006.637   21775.2100    0.1
  6006.655   21627.4506    0.1
  6006.672   21492.6520    0.1
  6006.690   21386.2728    0.1
  6006.707   21255.7978    0.1
  6006.724   21230.7216    0.1
  6006.742   21265.3398    0.1
  6006.759   21298.4941    0.1
  6006.777   21353.9012    0.1
  6006.794   21467.1410    0.1
  6006.811   21545.8141    0.1
  6006.829   21655.4259    0.1
  6006.846   21766.2710    0.1
  6006.864   21910.5953    0.1
  6006.881   21894.8265    0.1
  6006.899   21892.8810    0.1
  6006.916   21859.1879    0.1
  6006.933   21803.2195    0.1
  6006.951   21918.2002    0.1
