Selección de líneas de hierro para Arcturus-PEPSI;;;;;;;;
Rango:;3940-9130;;;;;;;
"Copiadas de Nave (solo calidad A; en total hay 1312)";;;;;;;;
;;;;;;;;
;;;;;;;;
;Aparentemente buenas (481);;;;;posibles mezclas (338);;
;;;;;;;;
;l vac;l aire;c;;;l vac;l aire;c
;;;;;;;;
;77.487.262;77.465.943;5.064;;;;;
;77.504.017;77.482.694;2.949;;;;;
;77.532.422;77.511.091;4.991;;;;;
;77.826.983;77.805.573;4.473;;;;;
;78.046.198;78.024.728;5.085;;;;;
;78.100.575;78.079.091;4.991;;;;;
;78.343.517;78.321.968;4.434;;;;;
;78.467.172;78.445.589;4.835;;;;;
;78.819.262;78.797.584;5.033;;;;;
;79.150.437;7.912.867;0.859;;;;;
;79.393.239;79.371.406;4.312;;;;;
;79.432.736;79.410.892;3.274;;;;;
;79.578.805;79.556.922;5.033;;;;;
;80.011.458;79.989.458;4.371;;;;;
;80.301.497;80.279.418;3.251;;;;;
;80.305.224;80.283.145;4.473;;;;;
;80.482.606;80.460.479;4.415;;;;;
;80.498.317;80.476.185;0.859;;;;;
;81.987.703;8.196.517;4.593;;;;;
;82.011.762;81.989.221;4.434;;;;;
;82.063.584;8.204.103;0.915;;;;;
;82.071.929;82.049.372;0.958;;;;;
;82.099.993;82.077.429;4.445;;;;;
;82.226.388;8.220.379;4.32;;;;;
;8.241.393;82.391.281;2.424;;;;;
;82.503.983;82.481.309;4.371;;;;;
;82.957.942;82.935.146;3.301;;;;;
;83.022.814;83.000.001;5.067;;;;;
;8.329.345;83.270.563;2.198;;;;;
;83.513.395;83.490.449;0.915;;;;;
;83.630.934;83.607.956;4.473;;;;;
;83.679.326;83.656.336;3.251;;;;;
;83.900.775;83.877.725;2.176;;;;;
;84.418.911;84.395.721;4.548;;;;;
;84.707.343;84.684.074;2.223;;;;;
;84.843.124;84.819.818;4.186;;;;;
;85.164.113;85.140.721;2.198;;;;;
;85.290.116;8.526.669;4.913;;;;;
;85.741.601;85.718.052;5.009;;;;;
;8.584.615;85.822.574;2.99;;;;;
;85.953.113;85.929.507;4.955;;;;;
;86.011.924;85.988.302;4.386;;;;;
;86.129.773;8.610.612;4.434;;;;;
;86.141.696;8.611.804;2.845;;;;;
;86.163.072;8.613.941;4.988;;;;;
;86.186.464;86.162.796;4.913;;;;;
;8.623.969;86.216.007;2.949;;;;;
;86.910.119;86.886.255;2.176;;;;;
;87.018.433;8.699.454;4.955;;;;;
;87.155.965;87.132.034;4.988;;;;;
;87.595.926;87.571.876;2.845;;;;;
;87.663.732;87.639.664;4.652;;;;;
;87.988.992;87.964.836;4.955;;;;;
;88.266.442;88.242.211;2.198;;;;;
;88.491.699;88.467.407;5.009;;;;;
;88.693.676;88.669.329;4.548;;;;;
;88.708.641;8.868.429;3.018;;;;;
;88.784.612;88.760.241;5.02;;;;;
;89.315.292;89.290.777;5.085;;;;;
;89.455.192;89.430.639;2.831;;;;;
;89.476.459;8945.19;5.033;;;;;
;8.948.718;89.462.619;2.845;;;;;
;89.526.461;89.501.888;4.154;;;;;
;89.873.552;89.848.886;5.099;;;;;
;90.020.272;89.995.566;2.831;;;;;
;90.130.681;90.105.946;2.608;;;;;
;9.016.452;90.139.776;2.279;;;;;
;90.222.229;90.197.469;5.099;;;;;
;90.331.919;90.307.129;2.845;;;;;
;90.728.928;90.704.031;5.085;;;;;
;90.820.731;90.795.808;4.652;;;;;
;90.866.788;90.841.854;4.256;;;;;
;90.908.132;90.883.186;2.845;;;;;
;90.918.993;90.894.044;2.949;;;;;
;91.224.737;91.199.705;4.283;;;;;
