λ_teo (Å),λ_obs (Å),Flujo,Profundidad,Velocidad (m/s),Curvatura,Bisectriz,Coef 0,Coef 1,Coef 2,Coef 3,Coef 4
3940.8776,3940.88729158407,0.07851158908236844,0.9214884109176316,737.2631442260725,1655577070.3172815,920.9518694565667,0.08610160300438752,-1.2746116560990368,53.300511711432,-68.78646604858116,7318.499158984486
3941.2753,3941.276313262568,0.4567733522170503,0.5432266477829497,77.07365071869755,4823228774.399211,-1011.3921600614304,0.457489508033025,-0.669635978699592,155.25089038552633,640.9644724637474,-18600.374120828652
3946.9949,3946.996638919232,0.2402997323321294,0.7597002676678706,132.07893193124073,3938288700.2143307,558.8300914129451,0.24038092714287404,0.2027608495999475,126.39911714522474,-235.09528223109737,-4692.5379750999355
3948.0973,3948.098891802287,0.1841573230280825,0.8158426769719175,120.87096241469017,3100283115.4009695,-173.60991901353663,0.184232875731684,-0.1733983616159961,99.44783085134213,45.223323836494615,3806.235182140598
4000.4572,4000.4577784207713,0.1383666954102275,0.8616333045897725,43.34659169535147,2625121059.3036394,153.82588790419453,0.13896677995686876,0.44383483956133857,82.01625939217416,-27.615208752484968,-3226.607749977866
4001.6617,4001.6660026557124,0.1101119002598702,0.8898880997401298,322.3420240448361,1710767852.3438268,1682.151526667608,0.11031929258403127,0.21104986333538509,53.4169896960028,-128.13685605473955,6362.025726910402
4006.3108,4006.309989838329,0.17587405403139947,0.8241259459686006,-60.62444252299017,4092998922.163939,-10.170661608770205,0.17592775503153682,0.16549036887095392,127.50362573371059,4.419245385114348,-6748.957713055787
4011.4075,4011.407169005201,0.19864184843278956,0.8013581515672105,-24.736889561495893,5098248897.692786,503.3155337565533,0.20030448308020807,1.0293888797906459,158.41545377738456,-338.0192740033668,-16754.14726436504
4029.6293,4029.6410589545076,0.13741576247362472,0.8625842375263753,874.8313090034421,1944444083.9350219,468.82831907216973,0.13785879277260746,0.32620365540910395,59.873236791615184,-45.18090925615026,6812.763110479863
4031.9607,4031.9593329441577,0.1866154793224506,0.8133845206775494,-101.64608777213992,4332323060.54806,-552.2526917361322,0.18747842988901653,-0.6797690406735885,133.24734139975345,263.7426602070967,-7498.393505491733
4059.7135,4059.7169887117057,0.22930052345894242,0.7706994765410575,257.62642056863154,3738783075.3690686,586.6165594265357,0.22977122542904735,-0.46120610319165073,113.42499120878668,-204.398111428741,-7635.623198195532
4073.7623,4073.7608577570754,0.1559043608383064,0.8440956391616936,-106.13617572903745,3700843562.0981374,-479.35887797719175,0.15667024700093884,0.583292024188584,111.50123297547745,161.9664034329663,-2598.9529252880184
4080.2092,4080.2092640653464,0.18322345148393618,0.8167765485160638,4.707187004832419,4095495750.8353767,84.40005707513005,0.1834323239013893,0.3206180778291267,123.00184020159519,-34.758232855491386,-6099.603986290449
4084.4915,4084.492672030933,0.11689729668731441,0.8831027033126856,86.02442538334297,2538226852.3088236,340.82647548776913,0.11817424815028738,0.6240672168902572,76.07188820338177,-53.74389397940336,-2614.5797910562724
4085.0041,4085.0058292401145,0.14094607834644504,0.859053921653555,126.90639511679153,3090468250.827994,741.0184093901476,0.14176958131449574,0.5537364841413377,92.5995613630646,-173.16049942383555,-3248.458634004915
4087.0939,4087.0956109074955,0.19723309016763982,0.8027669098323602,125.49678966932859,4323756137.238902,401.3538475464839,0.19748284128643978,0.3599018849895907,129.42006122222494,-183.296732298227,-8262.560318796452
4089.2169,4089.2145679326504,0.22200346969819085,0.7779965303018092,-170.97068216641262,5582483566.961114,-151.44688107417804,0.2222422833761707,0.399123332745193,166.92356793487528,115.11842627133278,-17136.77897562532
4100.7379,4100.743327272619,0.03551478540100434,0.9644852145989956,396.7713710178078,843565107.1741624,-7103.201490813232,0.035532963348347435,-0.04279650515720213,25.082073609490244,122.25113218129367,4493.776671898846
4101.2611,4101.254765738991,0.18446754342095786,0.8155324565790422,-463.01945450228885,2988793868.0258746,-1592.2604207400866,0.1851656847885874,-0.5005708099030235,88.84489363459753,343.87854789633025,-9555.824224067826
4104.1136,4104.1279749942705,0.12489710000603228,0.8751028999939677,1050.0476561346904,1501792169.344894,-1128.8946006490432,0.12515376748815002,0.21360894009727335,44.57979333689879,61.42705363847676,1971.9259760237926
4106.4229,4106.421791439043,0.2185515555062358,0.7814484444937642,-80.93131714578493,4286158181.18146,138.947301781463,0.21997144263620672,0.8498565624483125,127.089914402083,-61.48159711080564,-11415.849080960066
4109.0561,4109.056841016883,0.17314790178165826,0.8268520982183417,54.063820815076014,3214036622.9718666,-888.9090351571919,0.17355362469578445,0.39208573353258025,95.1779896864757,220.7403959998351,1424.7055616341727
4120.2065,4120.210385478168,0.12528482956665932,0.8747151704333407,282.7132694537032,2313707183.5108542,-749.844192405654,0.1256979535288063,-0.3362060170732811,68.14588160118363,95.71476692059967,3552.544808481272
4121.8026,4121.803725763183,0.13053391397833325,0.8694660860216668,81.88051310454719,2980483228.4973693,177.7718884267471,0.1310186975835629,0.412588648916278,87.71665699440032,-37.61177501042535,-3396.7451829387464
4122.5155,4122.515593489169,0.15423895596303727,0.8457610440369627,6.798603344359272,4102487669.7610917,517.4422029041991,0.15528621389553074,0.7127191914241182,120.6959436791443,-207.30930529062627,-4981.957752764762
4125.8804,4125.8810409638045,0.1967677550750558,0.8032322449249442,46.57336030185319,4067818693.6875196,18.061152438435407,0.19742050734842512,-0.5584209970230922,119.48081820463018,-7.096885998044808,-6175.906260789568
